fap_subtype,rank,gene,score,logfoldchange,pvals_adj
homeostatic FAP,97,PPP1R10,23.437569,,1.8079408085252867e-120
homeostatic FAP,98,ABCA8,23.353388,,1.2959521836577915e-119
homeostatic FAP,99,PDGFRA,23.326366,,2.4294774701281836e-119
homeostatic FAP,100,COL14A1,23.232632,,2.1478960306743466e-118
inflammatory FAP,1,GPX3,72.38362,,0.0
inflammatory FAP,2,RPS29,68.656,,0.0
inflammatory FAP,3,RPL36A,67.126114,,0.0
inflammatory FAP,4,EFEMP1,60.18609,,0.0
inflammatory FAP,5,RPL17,58.481373,,0.0
inflammatory FAP,6,GPX4,58.243538,,0.0
inflammatory FAP,7,EEF2,57.813072,,0.0
inflammatory FAP,8,RPS26,56.090202,,0.0
inflammatory FAP,9,MGST1,54.279808,,0.0
inflammatory FAP,10,BTF3,52.337696,,0.0
inflammatory FAP,11,RPS10,52.060642,,0.0
inflammatory FAP,12,NUPR1,50.828766,,0.0
inflammatory FAP,13,RPS5,50.757202,,0.0
inflammatory FAP,14,PFDN5,50.55162,,0.0
inflammatory FAP,15,MIF,50.47088,,0.0
inflammatory FAP,16,CXCL12,49.505474,,0.0
inflammatory FAP,17,RPL27,49.215656,,0.0
inflammatory FAP,18,CHCHD2,48.26659,,0.0
inflammatory FAP,19,RPSA,48.236645,,0.0
inflammatory FAP,20,TMEM59,47.786915,,0.0
inflammatory FAP,21,CIRBP,47.317966,,0.0
inflammatory FAP,22,RPS17,46.903473,,0.0
inflammatory FAP,23,ADH1B,45.405373,,0.0
inflammatory FAP,24,S100A13,45.28231,,0.0
inflammatory FAP,25,RPL21,45.1935,,0.0
inflammatory FAP,26,UBB,45.051968,,0.0
inflammatory FAP,27,LDHA,44.93902,,0.0
inflammatory FAP,28,GYPC,43.804813,,0.0
inflammatory FAP,29,EIF3F,43.729446,,0.0
inflammatory FAP,30,SERPINF1,43.623207,,0.0
